TIME; AESA DEMAND(º);BULK DEMAND(º);AESA Current Position PRM(º);Bulk Current Position PRM(º);AESA Current Position EST(rad);Bulk Current Position EST(rad);AESA Current Velocity EST(rad/s);Bulk Current Velocity EST(rad/s);AESA Integral Control;Bulk Integral Control;AESA Disturbance EST;Bulk Disturbance EST;AESA Torque;Bulk Torque;AESA Control Mode;Bulk Control Mode;MSG Counter; MDU Status
2955.069824; -90.010986; 90.000000; -90.016479; 90.010986; -1.571083; 1.571036; 0.000227; 0.000009; 0.029063; -1.438699; -0.236169; 0.441016; 0.241096; -0.441603; 0; 0; 148; 64; 
2955.073730; -90.010986; 90.000000; -90.016479; 90.010986; -1.571083; 1.571036; 0.000270; 0.000006; 0.029159; -1.438939; -0.236570; 0.441113; 0.241401; -0.441908; 0; 0; 149; 64; 
2955.077881; -90.010986; 90.000000; -90.016479; 90.010986; -1.571083; 1.571036; 0.000243; -0.000014; 0.029255; -1.439178; -0.237372; 0.441113; 0.242012; -0.441908; 0; 0; 150; 64; 
2955.081787; -90.076904; 90.000000; -90.016479; 90.010986; -1.571083; 1.571036; 0.000211; -0.000034; 0.028200; -1.439418; -0.238174; 0.441113; 0.117496; -0.441603; 0; 0; 151; 64; 
2955.085938; -90.076904; 90.000000; -90.016479; 90.010986; -1.571089; 1.571036; -0.002719; -0.000048; 0.027145; -1.439658; -0.238576; 0.441113; -0.050356; -0.441298; 0; 0; 152; 64; 
2955.089844; -90.214233; 90.000000; -90.016479; 90.010986; -1.571106; 1.571036; -0.008820; -0.000038; 0.023694; -1.439898; -0.234564; 0.441211; -0.340587; -0.441298; 0; 0; 153; 64; 
2955.093750; -90.285645; 90.000000; -90.016479; 90.010986; -1.571135; 1.571036; -0.018962; -0.000005; 0.018996; -1.440137; -0.215712; 0.441406; -0.784936; -0.441298; 0; 0; 154; 64; 
2955.097900; -90.351563; 90.000000; -90.016479; 90.010986; -1.571182; 1.571036; -0.034663; -0.000009; 0.013148; -1.440377; -0.172392; 0.441406; -1.113010; -0.441603; 0; 0; 155; 64; 
2955.101807; -90.422974; 90.000000; -90.016479; 90.010986; -1.571235; 1.571036; -0.049931; -0.000020; 0.006053; -1.440617; -0.090165; 0.441406; -1.358684; -0.441908; 0; 0; 156; 64; 
2955.105957; -90.488892; 90.000000; -90.016479; 90.010986; -1.571278; 1.571036; -0.060792; -0.000034; -0.002192; -1.440856; 0.036988; 0.441406; -1.598254; -0.441908; 0; 0; 157; 64; 
2955.109863; -90.488892; 90.000000; -90.016479; 90.010986; -1.571306; 1.571036; -0.067754; -0.000028; -0.010437; -1.441096; 0.199838; 0.441504; -1.754814; -0.441603; 0; 0; 158; 64; 
2955.114014; -90.626221; 90.000000; -90.016479; 90.010986; -1.571319; 1.571036; -0.070212; -0.000019; -0.021079; -1.441336; 0.386355; 0.441602; -2.062746; -0.441908; 0; 0; 159; 64; 
2955.117920; -90.697632; 90.000000; -90.016479; 90.010986; -1.571328; 1.571036; -0.073488; -0.000009; -0.032968; -1.441576; 0.584102; 0.441699; -2.606281; -0.441908; 0; 0; 160; 64; 
2955.121826; -90.763550; 90.000000; -90.016479; 90.010986; -1.571354; 1.571036; -0.083625; -0.000002; -0.046007; -1.441815; 0.789070; 0.441797; -3.085421; -0.442213; 0; 0; 161; 64; 
2955.125977; -90.829468; 90.000000; -90.021973; 90.010986; -1.571430; 1.571036; -0.099885; -0.000016; -0.060244; -1.442055; 0.995642; 0.441797; -3.452864; -0.442213; 0; 0; 162; 64; 
2955.129883; -90.895386; 90.000000; -90.021973; 90.010986; -1.571571; 1.571036; -0.119103; -0.000033; -0.075560; -1.442295; 1.206225; 0.441797; -3.707083; -0.442213; 0; 0; 163; 64; 
2955.134033; -90.895386; 90.000000; -90.027466; 90.010986; -1.571724; 1.571036; -0.132280; -0.000029; -0.090757; -1.442535; 1.454914; 0.441895; -3.785211; -0.442213; 0; 0; 164; 64; 
2955.137939; -91.032715; 90.000000; -90.038452; 90.010986; -1.571944; 1.571036; -0.143644; -0.000021; -0.108158; -1.442774; 1.690767; 0.441992; -3.953673; -0.442213; 0; 0; 165; 64; 
2955.142090; -91.104126; 90.000000; -90.049438; 90.010986; -1.572199; 1.571036; -0.152664; -0.000012; -0.126566; -1.443014; 1.930230; 0.442090; -4.317759; -0.442518; 0; 0; 166; 64; 
2955.145996; -91.164551; 90.000000; -90.065918; 90.010986; -1.572509; 1.571036; -0.165876; -0.000004; -0.145813; -1.443254; 2.162473; 0.442188; -4.620502; -0.442518; 0; 0; 167; 64; 
2955.149902; -91.235962; 90.000000; -90.087891; 90.016479; -1.572949; 1.571108; -0.188226; 0.007325; -0.165947; -1.443541; 2.353001; 0.481455; -4.846339; -0.484634; 0; 0; 168; 64; 
