TIME; AESA DEMAND(º);BULK DEMAND(º);AESA Current Position PRM(º);Bulk Current Position PRM(º);AESA Current Position EST(rad);Bulk Current Position EST(rad);AESA Current Velocity EST(rad/s);Bulk Current Velocity EST(rad/s);AESA Integral Control;Bulk Integral Control;AESA Disturbance EST;Bulk Disturbance EST;AESA Torque;Bulk Torque;AESA Control Mode;Bulk Control Mode;MSG Counter; MDU Status
937.387939; 0.126343; 0.000000; 0.131836; -0.109863; 0.002300; -0.001916; -0.000188; 0.000233; -0.185682; 2.693120; 1.358836; -1.056961; -1.362957; 1.060823; 0; 0; 27; 64; 
937.391907; 0.126343; 0.000000; 0.131836; -0.109863; 0.002300; -0.001917; -0.000192; 0.000186; -0.185754; 2.695037; 1.359366; -1.057742; -1.363567; 1.061434; 0; 0; 28; 64; 
937.395935; 0.126343; 0.000000; 0.131836; -0.109863; 0.002300; -0.001917; -0.000193; 0.000205; -0.185826; 2.696954; 1.359908; -1.058133; -1.363872; 1.062044; 0; 0; 29; 64; 
937.399963; 0.126343; 0.000000; 0.131836; -0.109863; 0.002300; -0.001917; -0.000186; 0.000158; -0.185899; 2.698872; 1.360455; -1.058914; -1.363872; 1.062960; 0; 0; 30; 64; 
937.403931; 0.126343; -0.549316; 0.131836; -0.109863; 0.002300; -0.001917; -0.000175; 0.000184; -0.185971; 2.691202; 1.360991; -1.059305; -1.364483; 0.650044; 0; 0; 31; 64; 
937.407959; 0.126343; -0.823975; 0.131836; -0.109863; 0.002300; -0.001937; -0.000166; -0.009874; -0.186043; 2.678738; 1.361499; -1.059696; -1.305277; -0.111087; 0; 0; 32; 64; 
937.411987; 0.126343; -1.098633; 0.131836; -0.109863; 0.002303; -0.002004; 0.001252; -0.035388; -0.186115; 2.661481; 1.361978; -1.043677; -1.074557; -0.692160; 0; 0; 33; 64; 
937.415955; 0.126343; -1.373291; 0.131836; -0.109863; 0.002319; -0.002100; 0.007704; -0.064240; -0.186188; 2.639430; 1.360052; -0.972566; -0.690023; -1.086764; 0; 0; 34; 64; 
937.419983; 0.126343; -1.653442; 0.131836; -0.109863; 0.002355; -0.002183; 0.020839; -0.086127; -0.186260; 2.612585; 1.345295; -0.822922; -0.326853; -1.412702; 0; 0; 35; 64; 
937.424011; 0.126343; -1.653442; 0.131836; -0.115356; 0.002406; -0.002310; 0.036568; -0.106777; -0.186284; 2.585788; 1.299911; -0.644365; -0.075076; -1.542405; 0; 0; 36; 64; 
937.428040; 0.126343; -2.197266; 0.131836; -0.115356; 0.002453; -0.002327; 0.049271; -0.106749; -0.186308; 2.549404; 1.211609; -0.362269; -0.004883; -1.905881; 0; 0; 37; 64; 
937.431885; 0.126343; -2.471924; 0.131836; -0.115356; 0.002480; -0.002322; 0.054203; -0.106071; -0.186332; 2.508226; 1.083416; -0.066106; -0.086673; -2.705161; 0; 0; 38; 64; 
937.435913; 0.131836; -2.746582; 0.131836; -0.120850; 0.002548; -0.002490; 0.057396; -0.133017; -0.186308; 2.462351; 0.973288; 0.148006; -0.016175; -3.354595; 0; 0; 39; 64; 
937.439941; 0.148315; -3.021240; 0.142822; -0.131836; 0.002740; -0.002822; 0.071191; -0.174223; -0.186212; 2.411873; 0.926854; 0.341801; 0.329600; -3.697928; 0; 0; 40; 64; 
937.443909; 0.159302; -3.295898; 0.148315; -0.142822; 0.002858; -0.003116; 0.077339; -0.197281; -0.185997; 2.356794; 0.799774; 0.650857; 0.772729; -3.913083; 0; 0; 41; 64; 
937.447937; 0.175781; -3.295898; 0.153809; -0.159302; 0.003018; -0.003559; 0.091200; -0.224339; -0.185565; 2.302050; 0.674188; 0.925530; 1.193884; -3.932005; 0; 0; 42; 64; 
937.451965; 0.203247; -3.845215; 0.164795; -0.186768; 0.003294; -0.004080; 0.116766; -0.243165; -0.184846; 2.238151; 0.575118; 1.209971; 1.478622; -4.078188; 0; 0; 43; 64; 
937.455994; 0.241699; -4.119873; 0.175781; -0.219727; 0.003627; -0.004750; 0.140917; -0.266760; -0.183767; 2.170033; 0.445143; 1.450261; 1.629688; -4.500259; 0; 0; 44; 64; 
937.459961; 0.280151; -4.400024; 0.197754; -0.258179; 0.004061; -0.005596; 0.165877; -0.302248; -0.182257; 2.097744; 0.317934; 1.649917; 1.835994; -4.748375; 0; 0; 45; 64; 
937.463989; 0.335083; -4.674683; 0.219727; -0.307617; 0.004523; -0.006610; 0.184753; -0.341114; -0.180220; 2.021523; 0.147992; 1.836679; 2.211371; -4.819483; 0; 0; 46; 64; 
937.467957; 0.395508; -4.949341; 0.247192; -0.368042; 0.005131; -0.007763; 0.214705; -0.375975; -0.177607; 1.941517; 0.013073; 2.028520; 2.650533; -4.793542; 0; 0; 47; 64; 
937.471985; 0.472412; -4.949341; 0.285645; -0.439453; 0.005895; -0.009183; 0.253844; -0.419494; -0.174300; 1.862756; -0.109622; 2.144563; 3.042695; -4.474013; 0; 0; 48; 64; 
937.476013; 0.560303; -5.498657; 0.329590; -0.521851; 0.006868; -0.010782; 0.303181; -0.454897; -0.170225; 1.775846; -0.209627; 2.245758; 3.318583; -4.200873; 0; 0; 49; 64; 
937.479980; 0.659180; -5.773315; 0.384521; -0.615234; 0.007989; -0.012550; 0.350487; -0.485778; -0.165336; 1.685773; -0.341612; 2.321166; 3.428144; -4.209113; 0; 0; 50; 64; 
937.484009; 0.774536; -6.047974; 0.444946; -0.719604; 0.009234; -0.014518; 0.390420; -0.523016; -0.159559; 1.592728; -0.509174; 2.352814; 3.542589; -4.117862; 0; 0; 51; 64; 
937.488037; 0.889893; -6.322632; 0.510864; -0.829468; 0.010566; -0.016553; 0.421655; -0.549288; -0.152920; 1.496806; -0.715964; 2.425878; 3.739738; -3.993347; 0; 0; 52; 64; 
937.492065; 1.027222; -6.597290; 0.593262; -0.955811; 0.012109; -0.018937; 0.461295; -0.596662; -0.145274; 1.398296; -0.873804; 2.359456; 4.055605; -3.781854; 0; 0; 53; 64; 
937.496033; 1.181030; -6.597290; 0.686646; -1.093140; 0.014018; -0.021522; 0.525017; -0.642258; -0.136693; 1.302183; -0.917870; 2.282095; 4.354381; -3.197119; 0; 0; 54; 64; 
937.500061; 1.345825; -7.152100; 0.796509; -1.241455; 0.016134; -0.024341; 0.588185; -0.683089; -0.127082; 1.199118; -0.995433; 2.162536; 4.465163; -2.659078; 0; 0; 55; 64; 
937.504089; 1.521606; -7.421265; 0.911865; -1.400757; 0.018314; -0.027244; 0.632339; -0.707552; -0.116416; 1.094040; -1.179308; 2.074625; 4.496902; -2.448805; 0; 0; 56; 64; 
937.508057; 1.702881; -7.695923; 1.032715; -1.565552; 0.020628; -0.030199; 0.668981; -0.724790; -0.104743; 0.987045; -1.382770; 2.008594; 4.516434; -2.305368; 0; 0; 57; 64; 
937.512085; 1.889648; -7.970581; 1.164551; -1.735840; 0.023060; -0.033244; 0.698939; -0.742666; -0.092087; 0.878229; -1.597400; 1.928497; 4.575945; -2.222663; 0; 0; 58; 64; 
937.516113; 2.092896; -8.245239; 1.307373; -1.917114; 0.025694; -0.036537; 0.734326; -0.778560; -0.078425; 0.767782; -1.760561; 1.751112; 4.778283; -2.055116; 0; 0; 59; 64; 
937.520081; 2.296143; -8.245239; 1.461182; -2.103882; 0.028510; -0.039852; 0.774318; -0.801913; -0.063852; 0.660547; -1.901900; 1.640930; 5.015107; -1.600696; 0; 0; 60; 64; 
937.524109; 2.504883; -8.800049; 1.614990; -2.290649; 0.031258; -0.043232; 0.792525; -0.815703; -0.048273; 0.546937; -2.173972; 1.536218; 5.246132; -1.335185; 0; 0; 61; 64; 
937.528137; 2.719116; -9.074707; 1.774292; -2.482910; 0.034161; -0.046622; 0.818203; -0.821615; -0.031782; 0.431889; -2.398730; 1.452215; 5.463729; -1.454817; 0; 0; 62; 64; 
937.532166; 2.938843; -9.349365; 1.944580; -2.680664; 0.037269; -0.050137; 0.854151; -0.841886; -0.014406; 0.315498; -2.564852; 1.317808; 5.595874; -1.505173; 0; 0; 63; 64; 
937.536133; 3.175049; -9.629517; 2.125854; -2.889404; 0.040637; -0.053934; 0.901169; -0.886197; 0.003859; 0.197957; -2.663930; 1.078300; 5.783563; -1.302225; 0; 0; 64; 64; 
937.540161; 3.416748; -9.898682; 2.323608; -3.109131; 0.044285; -0.057894; 0.958953; -0.929676; 0.022938; 0.079409; -2.713226; 0.846605; 5.995666; -0.838649; 0; 0; 65; 64; 
937.544189; 3.658447; -9.898682; 2.526855; -3.323364; 0.048057; -0.061757; 1.008441; -0.940636; 0.042711; -0.035353; -2.826909; 0.757132; 5.985900; -0.218818; 0; 0; 66; 64; 
937.548157; 3.911133; -10.447998; 2.741089; -3.548584; 0.051971; -0.065668; 1.049654; -0.941661; 0.063132; -0.155818; -2.967878; 0.651248; 5.704520; 0.040284; 0; 0; 67; 64; 
937.552185; 4.158325; -10.722656; 2.960815; -3.768311; 0.055839; -0.069462; 1.061103; -0.927388; 0.084105; -0.277243; -3.215890; 0.607097; 5.366680; -0.212714; 0; 0; 68; 64; 
937.556213; 4.405518; -10.997314; 3.175049; -3.982544; 0.059640; -0.073203; 1.049777; -0.919294; 0.105556; -0.399673; -3.512364; 0.569197; 5.257729; -0.556963; 0; 0; 69; 64; 
937.560181; 4.647217; -11.271973; 3.400269; -4.196777; 0.063570; -0.076928; 1.048839; -0.920279; 0.127320; -0.523159; -3.699153; 0.532861; 5.403607; -0.866115; 0; 0; 70; 64; 
