TIME; AESA DEMAND(º);BULK DEMAND(º);AESA Current Position PRM(º);Bulk Current Position PRM(º);AESA Current Position EST(rad);Bulk Current Position EST(rad);AESA Current Velocity EST(rad/s);Bulk Current Velocity EST(rad/s);AESA Integral Control;Bulk Integral Control;AESA Disturbance EST;Bulk Disturbance EST;AESA Torque;Bulk Torque;AESA Control Mode;Bulk Control Mode;MSG Counter; MDU Status
1045.650635; -0.247192; 0.274658; -0.252686; 0.214233; -0.004362; 0.003739; 0.000142; 0.000107; 0.053819; 1.790355; -0.397648; -0.668003; 0.399792; 0.670186; 0; 0; 147; 64; 
1045.654663; -0.247192; 0.274658; -0.252686; 0.214233; -0.004362; 0.003739; 0.000121; 0.000107; 0.053866; 1.791409; -0.398049; -0.668299; 0.400098; 0.670492; 0; 0; 148; 64; 
1045.658691; -0.247192; 0.274658; -0.252686; 0.214233; -0.004362; 0.003739; 0.000101; 0.000107; 0.053914; 1.792464; -0.398450; -0.668594; 0.400708; 0.670797; 0; 0; 149; 64; 
1045.662720; -0.247192; -0.411987; -0.252686; 0.214233; -0.004362; 0.003739; 0.000087; 0.000107; 0.053962; 1.781534; -0.398852; -0.668889; 0.401624; 0.153813; 0; 0; 150; 64; 
1045.666748; -0.247192; -0.823975; -0.252686; 0.214233; -0.004362; 0.003714; 0.000081; -0.012510; 0.054009; 1.763415; -0.399253; -0.669184; 0.477309; -0.849025; 0; 0; 151; 64; 
1045.670776; -0.247192; -1.235962; -0.252686; 0.214233; -0.004358; 0.003627; 0.001935; -0.045674; 0.054057; 1.738104; -0.399253; -0.648804; 0.774865; -1.696829; 0; 0; 152; 64; 
1045.674683; -0.247192; -1.653442; -0.252686; 0.214233; -0.004339; 0.003498; 0.010166; -0.085536; 0.054105; 1.705603; -0.402863; -0.557358; 1.288491; -2.323374; 0; 0; 153; 64; 
1045.678589; -0.241699; -2.059937; -0.252686; 0.208740; -0.004256; 0.003306; 0.031152; -0.125718; 0.054177; 1.665959; -0.402462; -0.399064; 1.831416; -2.805567; 0; 0; 154; 64; 
1045.682617; -0.236206; -2.059937; -0.252686; 0.208740; -0.004187; 0.003153; 0.052101; -0.151424; 0.054297; 1.626363; -0.472255; -0.122395; 2.229377; -2.984405; 0; 0; 155; 64; 
1045.686646; -0.236206; -2.889404; -0.247192; 0.203247; -0.004086; 0.003059; 0.073889; -0.158597; 0.054441; 1.572434; -0.579351; 0.239785; 2.356029; -3.510239; 0; 0; 156; 64; 
1045.690674; -0.225220; -3.295898; -0.241699; 0.197754; -0.003905; 0.002854; 0.095169; -0.177366; 0.054657; 1.511459; -0.690860; 0.561082; 2.312998; -4.545122; 0; 0; 157; 64; 
1045.694702; -0.208740; -3.707886; -0.236206; 0.181274; -0.003666; 0.002416; 0.110576; -0.226093; 0.054992; 1.443580; -0.813600; 0.814676; 2.486038; -5.276040; 0; 0; 158; 64; 
1045.698730; -0.186768; -4.119873; -0.219727; 0.159302; -0.003327; 0.001843; 0.130835; -0.277832; 0.055496; 1.368894; -0.915482; 1.112897; 2.974639; -5.674612; 0; 0; 159; 64; 
1045.702759; -0.142822; -4.537354; -0.186768; 0.115356; -0.002572; 0.000841; 0.192502; -0.353960; 0.056239; 1.287641; -0.838870; 1.292119; 3.505356; -5.752434; 0; 0; 160; 64; 
1045.706665; -0.082397; -4.537354; -0.142822; 0.065918; -0.001561; -0.000323; 0.266322; -0.413243; 0.057270; 1.207299; -0.771884; 1.545748; 3.781854; -5.304727; 0; 0; 161; 64; 
1045.710693; -0.005493; -5.361328; -0.093384; -0.005493; -0.000353; -0.001812; 0.335971; -0.467709; 0.058708; 1.113822; -0.769478; 1.731729; 3.775445; -5.009919; 0; 0; 162; 64; 
1045.714722; 0.087891; -5.773315; -0.021973; -0.093384; 0.001082; -0.003490; 0.399938; -0.509678; 0.060625; 1.014641; -0.794748; 1.920054; 3.612781; -5.167699; 0; 0; 163; 64; 
1045.718750; 0.197754; -6.185303; 0.054932; -0.192261; 0.002624; -0.005405; 0.444656; -0.557954; 0.063118; 0.909995; -0.898716; 2.069307; 3.512986; -5.243995; 0; 0; 164; 64; 
1045.722778; 0.318604; -6.597290; 0.137329; -0.302124; 0.004287; -0.007583; 0.479346; -0.611831; 0.066258; 0.800123; -1.029371; 2.177536; 3.716239; -5.197913; 0; 0; 165; 64; 
1045.726807; 0.455933; -7.009277; 0.236206; -0.428467; 0.006149; -0.010009; 0.521436; -0.665788; 0.070141; 0.685267; -1.127213; 2.263493; 4.136174; -5.043184; 0; 0; 166; 64; 
1045.730713; 0.615234; -7.009277; 0.346069; -0.571289; 0.008241; -0.012666; 0.575570; -0.716399; 0.074815; 0.572855; -1.198886; 2.334213; 4.538713; -4.524369; 0; 0; 167; 64; 
1045.734741; 0.785522; -7.833252; 0.472412; -0.725098; 0.010768; -0.015608; 0.658104; -0.763939; 0.080303; 0.448794; -1.154919; 2.342808; 4.655293; -4.156621; 0; 0; 168; 64; 
1045.738770; 0.977783; -8.245239; 0.615234; -0.900879; 0.013580; -0.018838; 0.738453; -0.813915; 0.086631; 0.320563; -1.140320; 2.287717; 4.476455; -4.148991; 0; 0; 169; 64; 
1045.742798; 1.186523; -8.662720; 0.774536; -1.087646; 0.016621; -0.022385; 0.805809; -0.876737; 0.093893; 0.188353; -1.172298; 2.168549; 4.355296; -3.899350; 0; 0; 170; 64; 
1045.746826; 1.417236; -9.074707; 0.944824; -1.290894; 0.019785; -0.026176; 0.854787; -0.935998; 0.102163; 0.052500; -1.282578; 2.049381; 4.532609; -3.462935; 0; 0; 171; 64; 
1045.750732; 1.642456; -9.486694; 1.120605; -1.499634; 0.023040; -0.029895; 0.894060; -0.957133; 0.111342; -0.086949; -1.452895; 2.090797; 4.779504; -3.148289; 0; 0; 172; 64; 
