TIME; TAG; POSITION; SPEED; POLARIZATION; POLARIZATION SPEED; PWENABLE; CHEKSUM; CRC; 
1393.696045; 0; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x1ffc; 0x4738; 
1393.700073; 0; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x1ffc; 0xbd38; 
1393.704102; 0; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x1ffc; 0x6538; 
1393.708130; 1; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x1ffd; 0xa938; 
1393.712036; 2; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x1ffe; 0x1638; 
1393.716064; 3; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x1fff; 0x7f38; 
1393.720093; 4; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x2000; 0xc538; 
1393.724121; 4; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x2000; 0x5938; 
1393.728149; 6; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x2002; 0x9d38; 
1393.732056; 7; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x2003; 0x338; 
1393.736084; 8; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x2004; 0x7838; 
1393.740112; 9; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x2005; 0xca38; 
1393.744141; 10; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x2006; 0x7a38; 
1393.748169; 10; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x2006; 0x7137; 
1393.752197; 12; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x2008; 0x4638; 
1393.756226; 13; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x2009; 0xbf38; 
1393.760132; 14; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x200a; 0x7738; 
1393.764160; 15; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x200b; 0xb838; 
1393.768188; 16; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x200c; 0x3638; 
1393.772217; 16; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x200c; 0x8a38; 
1393.776245; 18; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x200e; 0xc838; 
1393.780273; 19; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x200f; 0x4d38; 
1393.784180; 20; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x2010; 0x9438; 
1393.788208; 21; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x2011; 0xea37; 
1393.792236; 22; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x2012; 0x7238; 
1393.796265; 22; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x2012; 0xcb38; 
1393.800293; 24; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x2014; 0x7b38; 
1393.804321; 25; 44.983521; 0.000000; -0.005493; 0.000000; 1; 0x2015; 0x7137; 
